Customer ID,Recency,Frequency,Monetary,AverageOrderValue,CustomerTenure,PurchaseFrequency,Cluster,CustomerSegment
12346.0,326,12,77556.46,2281.0723529411766,400,0.029925187032418952,4,Loyal Customers
12347.0,2,8,4921.53,22.169054054054055,402,0.019851116625310174,0,Regular Customers
12348.0,75,5,2019.4,39.596078431372554,362,0.013774104683195593,0,Regular Customers
12349.0,19,4,4428.69,25.3068,570,0.0070052539404553416,0,Regular Customers
12350.0,310,1,334.4,19.670588235294115,0,1.0,1,At-Risk Customers
12351.0,375,1,300.93,14.33,0,1.0,1,At-Risk Customers
12352.0,36,10,2849.84,27.668349514563108,356,0.028011204481792718,0,Regular Customers
12353.0,204,2,406.76,16.948333333333334,204,0.00975609756097561,0,Regular Customers
12354.0,232,1,1079.4,18.610344827586207,0,1.0,0,Regular Customers
12355.0,214,2,947.61,27.074571428571428,353,0.005649717514124294,0,Regular Customers
12356.0,23,6,6371.73,44.87133802816901,401,0.014925373134328358,0,Regular Customers
12357.0,33,3,18287.66,61.78263513513514,355,0.008426966292134831,0,Regular Customers
12358.0,2,5,3887.07,50.48142857142857,730,0.006839945280437756,0,Regular Customers
12359.0,58,10,8873.39,24.5121270718232,676,0.014771048744460856,0,Regular Customers
12360.0,52,8,4252.89,19.59857142857143,603,0.013245033112582781,0,Regular Customers
12361.0,287,4,511.25,17.629310344827587,394,0.010126582278481013,1,At-Risk Customers
12362.0,3,11,5356.23,20.06078651685393,735,0.014945652173913044,0,Regular Customers
12363.0,110,2,552.0,24.0,132,0.015037593984962405,0,Regular Customers
12364.0,8,4,1313.1,15.448235294117646,104,0.0380952380952381,0,Regular Customers
12365.0,291,2,641.38,29.153636363636362,0,2.0,1,At-Risk Customers
12366.0,634,1,500.24,166.74666666666667,0,1.0,1,At-Risk Customers
12367.0,4,1,168.9,15.354545454545455,0,1.0,0,Regular Customers
12368.0,628,1,917.6999999999999,50.98333333333333,0,1.0,1,At-Risk Customers
12369.0,413,3,1791.15,19.25967741935484,228,0.013100436681222707,1,At-Risk Customers
12370.0,51,7,4316.56,21.47542288557214,617,0.011326860841423949,0,Regular Customers
12371.0,45,5,4067.38,24.35556886227545,600,0.008319467554076539,0,Regular Customers
12372.0,72,3,1298.04,24.962307692307693,224,0.013333333333333334,0,Regular Customers
12373.0,311,3,1127.65,22.110784313725492,362,0.008264462809917356,1,At-Risk Customers
12374.0,25,4,2989.2200000000003,36.01469879518073,563,0.0070921985815602835,0,Regular Customers
12375.0,11,2,457.5,26.91176470588235,87,0.022727272727272728,0,Regular Customers
12376.0,390,2,503.15,38.70384615384615,28,0.06896551724137931,1,At-Risk Customers
12377.0,315,4,3426.32,22.54157894736842,274,0.014545454545454545,1,At-Risk Customers
12378.0,130,2,5416.32,17.994418604651162,432,0.004618937644341801,0,Regular Customers
12379.0,82,4,1620.22,20.002716049382716,452,0.008830022075055188,0,Regular Customers
12380.0,22,11,9676.300000000001,34.93249097472925,640,0.0171606864274571,0,Regular Customers
12381.0,5,5,1845.31,21.21045977011494,115,0.04310344827586207,0,Regular Customers
12383.0,185,5,1850.56,18.69252525252525,167,0.02976190476190476,0,Regular Customers
12384.0,29,2,585.27,21.676666666666666,92,0.021505376344086023,0,Regular Customers
12385.0,379,1,1938.4,29.821538461538463,0,1.0,1,At-Risk Customers
12386.0,338,2,401.9,40.19,29,0.06666666666666667,1,At-Risk Customers
12387.0,415,1,143.94,15.993333333333332,0,1.0,1,At-Risk Customers
12388.0,16,8,3901.11,26.719931506849317,566,0.014109347442680775,0,Regular Customers
12389.0,403,3,1433.33,29.251632653061222,253,0.011811023622047244,1,At-Risk Customers
12390.0,80,1,549.84,17.1825,0,1.0,0,Regular Customers
12391.0,22,6,2724.84,10.205393258426966,641,0.009345794392523364,0,Regular Customers
12392.0,591,1,234.75000000000003,33.53571428571429,0,1.0,1,At-Risk Customers
12393.0,72,6,2399.4500000000003,22.42476635514019,356,0.01680672268907563,0,Regular Customers
12394.0,64,2,1272.48,47.12888888888889,153,0.012987012987012988,0,Regular Customers
12395.0,19,15,4721.17,19.50896694214876,583,0.025684931506849314,0,Regular Customers
12396.0,674,1,931.43,14.329692307692307,0,1.0,1,At-Risk Customers
12397.0,36,2,2409.9,19.126190476190477,99,0.02,0,Regular Customers
12398.0,46,1,1635.6599999999999,19.24305882352941,0,1.0,0,Regular Customers
12399.0,119,7,1962.3,17.83909090909091,525,0.013307984790874524,0,Regular Customers
12400.0,414,1,205.25,18.65909090909091,0,1.0,1,At-Risk Customers
12401.0,303,1,84.3,16.86,0,1.0,1,At-Risk Customers
12402.0,323,6,1256.9,17.955714285714286,347,0.017241379310344827,1,At-Risk Customers
12403.0,50,2,1019.36,113.26222222222222,471,0.00423728813559322,0,Regular Customers
12404.0,682,1,63.24,63.24,0,1.0,1,At-Risk Customers
12405.0,149,1,1710.39,31.67388888888889,0,1.0,0,Regular Customers
12406.0,22,5,6390.36,38.49614457831325,675,0.0073964497041420114,0,Regular Customers
12407.0,50,5,1708.1200000000001,22.183376623376624,214,0.023255813953488372,0,Regular Customers
12408.0,33,8,4340.7699999999995,27.300440251572326,465,0.017167381974248927,0,Regular Customers
12409.0,79,7,23419.29,88.70943181818183,486,0.014373716632443531,0,Regular Customers
12410.0,309,3,1013.71,25.342750000000002,193,0.015463917525773196,1,At-Risk Customers
12411.0,410,1,346.9,15.768181818181818,0,1.0,1,At-Risk Customers
12412.0,75,6,2596.93,20.448267716535433,464,0.012903225806451613,0,Regular Customers
12413.0,67,4,999.45,19.597058823529412,335,0.011904761904761904,0,Regular Customers
12414.0,217,6,952.41,34.01464285714285,246,0.024291497975708502,0,Regular Customers
12415.0,24,28,144458.37,156.00255939524837,503,0.05555555555555555,3,Premium Customers
12416.0,657,1,202.56,18.414545454545454,0,1.0,1,At-Risk Customers
12417.0,3,20,6797.41,18.421165311653116,730,0.027359781121751026,4,Loyal Customers
12418.0,113,4,2021.2,19.815686274509805,517,0.007722007722007722,0,Regular Customers
12419.0,386,2,503.01,20.1204,27,0.07142857142857142,1,At-Risk Customers
12420.0,64,1,600.39,20.70310344827586,0,1.0,0,Regular Customers
12421.0,16,6,1098.6,16.90153846153846,489,0.012244897959183673,0,Regular Customers
12422.0,96,17,5231.8,30.417441860465118,625,0.027156549520766772,0,Regular Customers
12423.0,1,10,2622.39,15.893272727272727,465,0.02145922746781116,0,Regular Customers
12424.0,163,4,3340.03,36.30467391304348,385,0.010362694300518135,0,Regular Customers
12425.0,78,2,1741.41,19.136373626373626,370,0.005390835579514825,0,Regular Customers
